path,category,extension,lines,bytes,read_status,purpose,primary_symbols,notes
voice_agent_backend/app/api/routes/health.py,CORE,.py,33,1064,READ,,health,
voice_agent_backend/app/api/routes/ingest.py,CORE,.py,470,16055,READ,,CHUNK_SIZE;CHUNK_OVERLAP;STOP_WORDS;sanitize_filename;_qdrant_write_acknowledged;is_heading_line;is_table_line;chunk_text_simple;chunk_structured_lines;extract_text_from_pdf;extract_text_from_docx;extract_text_from_txt;ingest_document;ingest_endpoint,
voice_agent_backend/app/api/routes/models.py,CORE,.py,74,2215,READ,,_kokoro_gpu_usable;list_available_models,
voice_agent_backend/app/api/routes/stt.py,CORE,.py,26,906,READ,,speech_to_text,
voice_agent_backend/app/api/routes/tts.py,CORE,.py,27,788,READ,,TTSRequest;generate_tts,
voice_agent_backend/app/core/__init__.py,CORE,.py,0,0,READ,,,
voice_agent_backend/app/core/agents/supervisor.py,CORE,.py,76,2595,READ,,supervisor_node;route_after_supervisor,
voice_agent_backend/app/core/agents/ultrathink_critic.py,CORE,.py,70,2731,READ,,ultrathink_critic_node,
voice_agent_backend/app/core/auth.py,CORE,.py,69,2231,READ,,verify_password;get_password_hash;create_access_token;get_current_user,
voice_agent_backend/app/core/config.py,CORE,.py,173,7621,READ,,SYSTEM_PROMPT_BASE;SYSTEM_PROMPT_DOCUMENT;EMBED_DIMS;get_embed_dim;BASE_DIR;ENV_FILE;Settings,
voice_agent_backend/app/core/correlator.py,CORE,.py,53,1849,READ,,CORRELATOR_MODEL;SYSTEM_PROMPT;correlate_query,
voice_agent_backend/app/core/database.py,CORE,.py,33,1127,READ,,_DB_PATH;DATABASE_URL;Base;get_db;init_db,
voice_agent_backend/app/core/graph_state.py,CORE,.py,81,3610,READ,,VoiceAgentState;STAGE_LABELS,
voice_agent_backend/app/core/intent.py,CORE,.py,271,9910,READ,,STOP_PHRASES;UPLOAD_PHRASES;GREETING_PATTERN;SUMMARY_PATTERN;DOC_WORDS;FOLLOW_UP_WORDS;QUESTION_WORDS_PATTERN;DATA_KEYWORDS_PATTERN;DOC_KEYWORDS_PATTERN;QUESTION_WORDS_PATTERN_LLM;IDENTITY_PATTERN;NON_DOC_CHAT_PATTERN;SHORT_CHAT_PATTERN;USER_COMPLIANCE_PATTERN;VALID_INTENTS;INTENT_PROMPT;PROMPT_INJECTION_PATTERNS;SLANG_MAP;map_slang_to_formal;detect_prompt_injection,
voice_agent_backend/app/core/langchain_rag.py,CORE,.py,361,15067,READ,,STOP_WORDS;CONCEPT_EXPANSIONS;ALL_KNOWN_TERMS;tokenize;build_query_variants;rerank_results;diversify_for_summary;has_sufficient_confidence;format_context;build_contextual_prompt;retrieve_context,
voice_agent_backend/app/core/limiter.py,CORE,.py,9,232,READ,,,
voice_agent_backend/app/core/memory.py,CORE,.py,73,2876,READ,,SessionMemory,
voice_agent_backend/app/core/nodes/__init__.py,CORE,.py,1,25,READ,,,
voice_agent_backend/app/core/nodes/check_confidence.py,CORE,.py,87,3286,READ,,check_confidence_node;route_after_confidence,
voice_agent_backend/app/core/nodes/check_interrupt.py,CORE,.py,52,1879,READ,,check_interrupt_node;route_after_interrupt,
voice_agent_backend/app/core/nodes/classify_intent.py,CORE,.py,76,2435,READ,,classify_intent_node;route_after_classify,
voice_agent_backend/app/core/nodes/generate_response.py,CORE,.py,223,8617,READ,,_extract_ready_tts_chunks;generate_response_node,
voice_agent_backend/app/core/nodes/handle_early_exit.py,CORE,.py,137,5016,READ,,NO_INFO_PHRASES;IDENTITY_RESPONSE;UPLOAD_RESPONSE;STOP_RESPONSE;INJECTION_RESPONSE;GENERAL_CHAT_FALLBACK;handle_early_exit_node,
voice_agent_backend/app/core/nodes/retrieve_context.py,CORE,.py,52,1697,READ,,retrieve_context_node,
voice_agent_backend/app/core/nodes/search_web.py,CORE,.py,62,2355,READ,,search_web_node,
voice_agent_backend/app/core/nodes/synthesize_speech.py,CORE,.py,53,1629,READ,,synthesize_speech_node,
voice_agent_backend/app/core/nodes/translate_input.py,CORE,.py,54,1718,READ,,translate_input_node,
voice_agent_backend/app/core/nodes/update_context.py,CORE,.py,86,3380,READ,,CONTEXT_WINDOW_MAX_TURNS;update_context_node,
voice_agent_backend/app/core/onnx_runtime.py,CORE,.py,67,2194,READ,,configure_onnxruntime_gpu_environment,
voice_agent_backend/app/core/translation.py,CORE,.py,54,1740,READ,,translate_to_english;translate_from_english,
voice_agent_backend/app/core/voice_graph.py,CORE,.py,146,5537,READ,,build_voice_graph;get_compiled_graph;_GraphProxy,
voice_agent_backend/app/main.py,CORE,.py,127,4635,READ,,SecurityHeadersMiddleware;startup_event;shutdown_event;global_exception_handler;BASE_DIR;FRONTEND_DIR,
voice_agent_backend/app/middleware/logging.py,CORE,.py,32,1037,READ,,AuditLoggingMiddleware,
voice_agent_backend/app/models/__init__.py,CORE,.py,0,0,READ,,,
voice_agent_backend/app/models/schemas.py,CORE,.py,63,2257,READ,,ChatRequest;STTResponse;CollectionCreateRequest;DocumentInfo;IngestResponse;ChatStreamRequest;InterruptRequest,
voice_agent_backend/app/models/user.py,CORE,.py,21,915,READ,,User;UserSession,
voice_agent_backend/app/services/__init__.py,CORE,.py,0,0,READ,,,
voice_agent_backend/app/services/groq_service.py,CORE,.py,148,4875,READ,,chat_complete;_stream_chat;_non_stream_chat;transcribe_audio;health_check;list_models,
voice_agent_backend/app/services/http_client.py,CORE,.py,32,1055,READ,,AsyncHttpClient;get_http_client,
voice_agent_backend/app/services/llm_router.py,CORE,.py,34,954,READ,,chat_complete,
voice_agent_backend/app/services/ollama_service.py,CORE,.py,132,4240,READ,,generate_embedding;chat_complete;_stream_chat;_non_stream_chat;list_models;health_check,
voice_agent_backend/app/services/qdrant_service.py,CORE,.py,273,8944,READ,,QdrantWriteError;_write_acknowledged;_require_write_ack;_qdrant_get;_qdrant_post;_qdrant_put;_qdrant_delete;list_collections;create_collection;delete_collection;collection_exists;list_documents;delete_document_vectors;upsert_points;search_vectors;health_check,
voice_agent_backend/app/services/speech_service.py,CORE,.py,464,19105,READ,,SpeechService,
voice_agent_backend/data/models/kokoro-v1.0.onnx,DATA,.onnx,0,325532387,EXCLUDED_BINARY_OR_LOCAL_ARTIFACT,,,Binary/local model/database artifact excluded; path and size recorded only.
voice_agent_backend/data/models/voices-v1.0.bin,DATA,.bin,0,28214398,EXCLUDED_BINARY_OR_LOCAL_ARTIFACT,,,Binary/local model/database artifact excluded; path and size recorded only.
voice_agent_backend/data/README.md,DATA,.md,8,371,READ,,,
voice_agent_backend/data/sqlite/voice_agent.db,DATA,.db,0,28672,EXCLUDED_BINARY_OR_LOCAL_ARTIFACT,,,Binary/local model/database artifact excluded; path and size recorded only.
voice_agent_backend/Dockerfile,INFRA,,12,219,READ,,,
voice_agent_backend/frontend/index.html,FRONTEND,.html,387,20973,READ,,,
voice_agent_backend/frontend/script.js,FRONTEND,.js,2425,149904,READ,,,
voice_agent_backend/frontend/style.css,FRONTEND,.css,1500,32633,READ,,,
voice_agent_backend/pytest.ini,CONFIG,.ini,4,65,READ,,,
voice_agent_backend/requirements.txt,DOC,.txt,29,612,READ,,,
voice_agent_backend/scripts/checks/check_backend_health.py,SCRIPT,.py,37,1111,READ,,BACKEND_ROOT;run_health_checks,
voice_agent_backend/scripts/checks/import_smoke.py,SCRIPT,.py,76,2652,READ,,BACKEND_ROOT;test,
voice_agent_backend/scripts/checks/search_node_smoke.py,SCRIPT,.py,37,1043,READ,,test_search,
voice_agent_backend/scripts/checks/verify_kokoro.py,SCRIPT,.py,58,1920,READ,,BACKEND_ROOT;verify_kokoro,
voice_agent_backend/scripts/manual_tests/benchmark_tts.py,SCRIPT,.py,136,4714,READ,,SCRIPT_PATH;WORKSPACE_ROOT;MODEL_PATH;VOICES_PATH;TEST_TEXT;benchmark_hardware;main,
voice_agent_backend/scripts/manual_tests/chunking_smoke.py,SCRIPT,.py,66,2513,READ,,MockSettings;chunk_text_simple,
voice_agent_backend/scripts/manual_tests/graph_smoke.py,SCRIPT,.py,23,578,READ,,BACKEND_ROOT;main,
voice_agent_backend/scripts/manual_tests/hardware_smoke.py,SCRIPT,.py,39,1314,READ,,check_cuda_optimization,
voice_agent_backend/scripts/manual_tests/inspect_kokoro.py,SCRIPT,.py,8,240,READ,,,
voice_agent_backend/scripts/manual_tests/pipeline_smoke.py,SCRIPT,.py,68,2008,READ,,BACKEND_ROOT;test_streaming_answer,
voice_agent_backend/scripts/manual_tests/rag_smoke.py,SCRIPT,.py,34,993,READ,,BACKEND_ROOT;main,
voice_agent_backend/scripts/manual_tests/sim_scoring.py,SCRIPT,.py,25,796,READ,,rrf_score,
voice_agent_backend/scripts/manual_tests/speech_norm_smoke.py,SCRIPT,.py,41,1458,READ,,BACKEND_ROOT;test_normalization,
voice_agent_backend/scripts/manual_tests/tts_normalization_smoke.py,SCRIPT,.py,68,2492,READ,,normalize,
voice_agent_backend/start_server.bat,SCRIPT,.bat,18,633,READ,,,
voice_agent_backend/start_server.sh,SCRIPT,.sh,14,381,READ,,,
voice_agent_backend/test_graph.py,TEST,.py,16,335,READ,,,
voice_agent_backend/tests/__init__.py,TEST,.py,0,0,READ,,,
voice_agent_backend/tests/backend/__init__.py,TEST,.py,1,1,READ,,,
voice_agent_backend/tests/backend/test_auth_and_protection.py,TEST,.py,163,5508,READ,,client;register_and_get_token;test_auth_routes_are_mounted_and_login_works;test_mutating_collection_routes_require_auth;test_authorized_collection_create_uses_token;test_ingest_requires_auth;test_ingest_endpoint_uses_sanitized_filename;test_ingest_document_fails_when_qdrant_upsert_is_not_acknowledged;test_production_env_rejects_fallback_secret,
voice_agent_backend/tests/frontend/__init__.py,TEST,.py,1,1,READ,,,
voice_agent_backend/tests/frontend/test_frontend.py,TEST,.py,513,19910,READ,,HERE;BACKEND_DIR;FRONTEND_DIR;_make_handler;_start_server;BASE_URL;setup_module;teardown_module;_intercept_health;_intercept_collections;_intercept_models;_intercept_chat;_intercept_401;_intercept_auth_success;_mock_all_api;TestPageLoad;TestSettingsPanel;TestDocumentsPanel;TestTextInput;TestStatusBar,
